entity	2019	2018	prc_change
Albcontrol	21841	20339	7.38
ANA LUX	11298	11346	-0.42
ANS CR	114643	109019	5.16
ANS Finland	42035	40466	3.88
ARMATS	10583	8625	22.7
Austro Control	139546	129572	7.7
Avinor	89193	88631	0.63
BULATSA	108204	102317	5.75
Croatia Control	69228	61377	12.79
DCAC Cyprus	53003	50488	4.98
DFS	433775	416247	4.21
DHMI	201118	195260	3
DSNA	431409	416060	3.69
EANS	32142	30465	5.5
ENAIRE	278521	260516	6.91
ENAV	218548	205979	6.1
EUROCONTROL Area (MS)	1512213	1468644	2.97
HCAA	82838	74363	11.4
HungaroControl (EC)	112135	105999	5.79
IAA	87554	82823	5.71
LFV	114895	112611	2.03
LGS	40473	37314	8.47
LPS	68783	64736	6.25
LVNL	90477	90623	-0.16
M-NAV	18856	14892	26.62
MATS	16714	15975	4.63
MOLDATSA	6410	6070	5.6
MUAC	268097	262663	2.07
NATS (Continental)	349758	342335	2.17
NAV Portugal	63011	349758	-81.98
NAV Portugal (Continental)	94455	89660	5.35
NAVIAIR	98851	97398	1.49
Oro Navigacija	35398	34658	2.14
PANSA	117256	110871	5.76
ROMATSA	97614	90807	7.5
Sakaeronavigatsia	22901	21110	8.48
SES Area (RP1)	1413671	1366708	3.44
skeyes	88543	87724	0.93
Skyguide	175602	169335	3.7
Slovenia Control	37885	33415	13.38
SMATSA	78534	72345	8.55
UkSATSE	35593	31470	13.1
