entity	2018	2017	prc_change
Albcontrol	20339	19175	6.07
ANA LUX	11346	10200	11.24
ANS CR	109019	104037	4.79
ANS Finland	40466	37196	8.79
ARMATS	8625	6477	33.16
Austro Control	129572	122158	6.07
Avinor	88631	87383	1.43
Belgocontrol	87724	84285	4.08
BULATSA	102317	93298	9.67
Croatia Control	61377	56879	7.91
DCAC Cyprus	50488	44904	12.44
DFS	416247	405139	2.74
DHMI	195260	174424	11.95
DSNA	416060	405173	2.69
EANS	30465	28856	5.58
ENAIRE	260516	244686	6.47
ENAV	205979	195679	5.26
EUROCONTROL Area (MS)	1468644	1412642	3.96
HCAA	74363	70495	5.49
HungaroControl (EC)	105999	97760	8.43
IAA	82823	83690	-1.04
LFV	112611	107405	4.85
LGS	37314	35333	5.61
LPS	64736	60526	6.96
LVNL	90623	87600	3.45
M-NAV	14892	13673	8.92
MATS	15975	15617	2.29
MoldATSA	6070	5697	6.55
MUAC	262663	258518	1.6
NATS (Continental)	342335	340862	0.43
NAV Portugal (Continental)	89660	86742	3.36
NAVIAIR	97398	93808	3.83
Oro Navigacija	34658	31717	9.27
PANSA	110871	101094	9.67
ROMATSA	90807	83700	8.49
Sakaeronavigatsia	21110	19446	8.56
SES Area (RP1)	1366708	1320984	3.46
Skyguide	169335	164356	3.03
Slovenia Control	33415	32082	4.15
SMATSA	72345	67518	7.15
UkSATSE	31470	26918	16.91
