"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2015,3,"AENA","AENA","ENAIRE",1,123004,5654498,5654498,35384769,"ANSP","ANSP",2199,4215,99,66,165
2015,1,"AENA","AENA","ENAIRE",1,110644,5167685,5167685,32441692,"ANSP","ANSP",2047,2904,88,28,116
2014,2,"AENA","AENA","ENAIRE",1,100712,4817090,4817090,29923194,"ANSP","ANSP",7054,8993,291,58,349
2014,3,"AENA","AENA","ENAIRE",1,118947,5613386,5613386,35157756,"ANSP","ANSP",12311,12937,516,31,547
2014,1,"AENA","AENA","ENAIRE",1,107316,5184459,5184459,32511152,"ANSP","ANSP",16528,18136,684,59,743
2014,4,"AENA","AENA","ENAIRE",1,141090,6446460,6446460,40314876,"ANSP","ANSP",14149,31058,458,333,791
2014,5,"AENA","AENA","ENAIRE",1,154306,6809761,6809761,42457081,"ANSP","ANSP",16406,21696,664,214,878
2014,6,"AENA","AENA","ENAIRE",1,160472,7028871,7028871,43765323,"ANSP","ANSP",53752,65387,1774,457,2231
2014,7,"AENA","AENA","ENAIRE",1,178069,7769815,7769815,48656734,"ANSP","ANSP",90668,112935,2734,885,3619
2014,8,"AENA","AENA","ENAIRE",1,180994,7899132,7899132,49857335,"ANSP","ANSP",97024,141300,3619,1410,5029
2014,10,"AENA","AENA","ENAIRE",1,151077,6755736,6755736,42441963,"ANSP","ANSP",7649,13893,296,231,527
2014,9,"AENA","AENA","ENAIRE",1,160940,7023506,7023506,44056577,"ANSP","ANSP",26482,61433,1027,1108,2135
2014,11,"AENA","AENA","ENAIRE",1,114661,5426731,5426731,34116259,"ANSP","ANSP",21313,24010,806,78,884
2014,12,"AENA","AENA","ENAIRE",1,112435,5245913,5245913,33104524,"ANSP","ANSP",6546,13282,262,107,369
2015,2,"AENA","AENA","ENAIRE",1,103722,4790838,4790838,29903956,"ANSP","ANSP",2412,5806,114,118,232
2015,4,"AENA","AENA","ENAIRE",1,143556,6460549,6460549,40368571,"ANSP","ANSP",19752,37517,539,591,1130
2014,3,"ANS_CZ","ANS_CZ","ANS CR",2,50299,1022336,1022336,6820173,"ANSP","ANSP",0,0,0,,0
2014,2,"ANS_CZ","ANS_CZ","ANS CR",2,42139,867273,867273,5811244,"ANSP","ANSP",0,0,0,,0
2015,2,"ANS_CZ","ANS_CZ","ANS CR",2,43945,877028,877028,5908492,"ANSP","ANSP",0,0,0,,0
2014,1,"ANS_CZ","ANS_CZ","ANS CR",2,45558,951432,951432,6335391,"ANSP","ANSP",0,0,0,,0
2015,1,"ANS_CZ","ANS_CZ","ANS CR",2,47863,968579,968579,6512499,"ANSP","ANSP",0,0,0,,0
2014,4,"ANS_CZ","ANS_CZ","ANS CR",2,54232,1091367,1091367,7328143,"ANSP","ANSP",0,359,0,15,15
2014,6,"ANS_CZ","ANS_CZ","ANS CR",2,66289,1305830,1305830,8774833,"ANSP","ANSP",1980,3729,80,73,153
2014,5,"ANS_CZ","ANS_CZ","ANS CR",2,62112,1240374,1240374,8342991,"ANSP","ANSP",300,1176,13,37,50
2014,7,"ANS_CZ","ANS_CZ","ANS CR",2,71378,1380021,1380021,9369833,"ANSP","ANSP",1862,4795,84,117,201
2014,8,"ANS_CZ","ANS_CZ","ANS CR",2,69383,1350226,1350226,9057419,"ANSP","ANSP",0,882,0,38,38
2014,10,"ANS_CZ","ANS_CZ","ANS CR",2,60927,1203809,1203809,8087841,"ANSP","ANSP",320,582,14,13,27
2014,9,"ANS_CZ","ANS_CZ","ANS CR",2,65977,1283086,1283086,8612937,"ANSP","ANSP",428,2027,20,59,79
2014,11,"ANS_CZ","ANS_CZ","ANS CR",2,48643,982153,982153,6523477,"ANSP","ANSP",0,0,0,,0
2015,3,"ANS_CZ","ANS_CZ","ANS CR",2,52076,1042359,1042359,6991961,"ANSP","ANSP",0,0,0,,0
2014,12,"ANS_CZ","ANS_CZ","ANS CR",2,45626,924955,924955,6172970,"ANSP","ANSP",0,0,0,,0
2015,4,"ANS_CZ","ANS_CZ","ANS CR",2,56852,1121902,1121902,7483732,"ANSP","ANSP",0,0,0,,0
2015,1,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,46447,926115,926115,6745025,"ANSP","ANSP",0,0,0,,0
2014,2,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,29237,602515,602515,4287450,"ANSP","ANSP",0,0,0,,0
2014,3,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,34720,716301,716301,5125664,"ANSP","ANSP",0,0,0,,0
2014,4,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,50698,982204,982204,7135572,"ANSP","ANSP",0,0,0,,0
2014,1,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,31337,651291,651291,4583801,"ANSP","ANSP",0,0,0,,0
2015,2,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,41723,824312,824312,6044340,"ANSP","ANSP",0,0,0,,0
