"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2014",1,"JAN",01-JAN-14,"ANA LUX","ANSP (AUA)",87,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"ANS CR","ANSP (AUA)",1118,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"ARMATS","ANSP (AUA)",112,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Albcontrol","ANSP (AUA)",319,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Austro Control","ANSP (AUA)",1329,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Avinor","ANSP (AUA)",1031,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"BULATSA","ANSP (AUA)",823,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Belgocontrol","ANSP (AUA)",780,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Croatia Control","ANSP (AUA)",703,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"DCAC Cyprus","ANSP (AUA)",601,2302,0,0,0,0,0,0,0,0,0,2302,0,0,0,0,0,0,95,63
"2014",1,"JAN",01-JAN-14,"DFS","ANSP (AUA)",4092,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"DHMI","ANSP (AUA)",2289,334,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,29,11
"2014",1,"JAN",01-JAN-14,"DSNA","ANSP (AUA)",4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",1,"JAN",01-JAN-14,"EANS","ANSP (AUA)",321,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"ENAIRE","ANSP (AUA)",3035,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"ENAV","ANSP (AUA)",2578,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"EUROCONTROL Area (MS)","AREA (AUA)",15401,4301,0,1559,0,0,0,0,0,0,334,2408,0,0,0,0,0,0,244,123
"2014",1,"JAN",01-JAN-14,"Finavia","ANSP (AUA)",337,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"HCAA","ANSP (AUA)",883,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"HungaroControl (EC)","ANSP (AUA)",950,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"IAA","ANSP (AUA)",911,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"LFV","ANSP (AUA)",1022,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"LGS","ANSP (AUA)",413,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"LPS","ANSP (AUA)",652,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"LVNL","ANSP (AUA)",953,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"M-NAV","ANSP (AUA)",136,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"MATS","ANSP (AUA)",224,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"MUAC","ANSP (AUA)",2837,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"MoldATSA","ANSP (AUA)",134,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"NATS (Continental)","ANSP (AUA)",3484,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"NAV Portugal (Continental)","ANSP (AUA)",972,1559,0,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,48
"2014",1,"JAN",01-JAN-14,"NAVIAIR","ANSP (AUA)",1006,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Oro Navigacija","ANSP (AUA)",364,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"PANSA","ANSP (AUA)",1052,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,9,1
"2014",1,"JAN",01-JAN-14,"ROMATSA","ANSP (AUA)",784,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"SAKAERONAVIGATSIA","ANSP (AUA)",246,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"SES Area (RP1)","AREA (AUA)",14197,3967,0,1559,0,0,0,0,0,0,0,2408,0,0,0,0,0,0,215,112
"2014",1,"JAN",01-JAN-14,"SMATSA","ANSP (AUA)",722,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Skyguide","ANSP (AUA)",1910,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"Slovenia Control","ANSP (AUA)",341,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",01-JAN-14,"UkSATSE","ANSP (AUA)",842,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"ANA LUX","ANSP (AUA)",121,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"ANS CR","ANSP (AUA)",1571,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"ARMATS","ANSP (AUA)",142,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"Albcontrol","ANSP (AUA)",399,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"Austro Control","ANSP (AUA)",1995,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"Avinor","ANSP (AUA)",1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",1,"JAN",02-JAN-14,"BULATSA","ANSP (AUA)",1048,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"Belgocontrol","ANSP (AUA)",1133,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"Croatia Control","ANSP (AUA)",896,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"DCAC Cyprus","ANSP (AUA)",719,2959,0,0,0,0,0,0,0,0,0,2080,0,879,0,0,0,0,153,91
"2014",1,"JAN",02-JAN-14,"DFS","ANSP (AUA)",5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",1,"JAN",02-JAN-14,"DHMI","ANSP (AUA)",2572,,,,,,,,,,,,,,,,,,,
"2014",1,"JAN",02-JAN-14,"DSNA","ANSP (AUA)",6197,3300,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,102
