"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2015",11,"NOV",01-NOV-15,"Albania","COUNTRY (FIR)",570,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Armenia","COUNTRY (FIR)",129,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Austria","COUNTRY (FIR)",2972,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"BLUE MED FAB","FAB (FIR)",5851,3300,0,1074,0,0,0,0,1773,0,0,0,0,453,0,0,0,0,174,98
"2015",11,"NOV",01-NOV-15,"Baltic FAB","FAB (FIR)",1997,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Belgium","COUNTRY (FIR)",2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",11,"NOV",01-NOV-15,"Bosnia and Herzegovina","COUNTRY (FIR)",835,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Bulgaria","COUNTRY (FIR)",2204,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Croatia","COUNTRY (FIR)",1396,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Cyprus","COUNTRY (FIR)",965,3300,0,1074,0,0,0,0,1773,0,0,0,0,453,0,0,0,0,174,98
"2015",11,"NOV",01-NOV-15,"Czech Republic","COUNTRY (FIR)",1980,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"DANUBE FAB","FAB (FIR)",2508,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"DK-SE FAB","FAB (FIR)",2453,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Denmark","COUNTRY (FIR)",1533,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Estonia","COUNTRY (FIR)",467,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"FAB CE","FAB (FIR)",5200,814,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23
"2015",11,"NOV",01-NOV-15,"FAB CE (SES RP1)","FAB (FIR)",4694,814,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23
"2015",11,"NOV",01-NOV-15,"FAB CE (SES RP2)","FAB (FIR)",5191,814,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23
"2015",11,"NOV",01-NOV-15,"FABEC","FAB (FIR)",14230,7671,0,5127,0,0,0,0,0,0,0,2099,0,445,0,0,0,0,370,182
"2015",11,"NOV",01-NOV-15,"Finland","COUNTRY (FIR)",576,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"France","COUNTRY (FIR)",7798,3206,0,1107,0,0,0,0,0,0,0,2099,0,0,0,0,0,0,172,79
"2015",11,"NOV",01-NOV-15,"Georgia","COUNTRY (FIR)",360,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Germany","COUNTRY (FIR)",7900,1172,0,727,0,0,0,0,0,0,0,0,0,445,0,0,0,0,79,29
"2015",11,"NOV",01-NOV-15,"Greece","COUNTRY (FIR)",1776,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Hungary","COUNTRY (FIR)",2025,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Ireland","COUNTRY (FIR)",1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",11,"NOV",01-NOV-15,"Italy","COUNTRY (FIR)",4212,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Latvia","COUNTRY (FIR)",609,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Lithuania","COUNTRY (FIR)",680,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Malta","COUNTRY (FIR)",258,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Moldova","COUNTRY (FIR)",132,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"NEFAB","FAB (FIR)",2356,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Netherlands","COUNTRY (FIR)",2986,3221,0,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,72
"2015",11,"NOV",01-NOV-15,"Norway","COUNTRY (FIR)",1363,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Poland","COUNTRY (FIR)",1745,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Portugal","COUNTRY (FIR)",1711,4746,0,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,130
"2015",11,"NOV",01-NOV-15,"Portugal Continental","COUNTRY (FIR)",1492,4746,0,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,130
"2015",11,"NOV",01-NOV-15,"Portugal Santa Maria","COUNTRY (FIR)",366,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"Romania","COUNTRY (FIR)",1797,,,,,,,,,,,,,,,,,,,
"2015",11,"NOV",01-NOV-15,"SES Area (RP2)","AREA (FIR)",22249,18525,0,13755,0,0,0,0,1773,0,0,2099,0,898,0,0,0,0,937,490
"2015",11,"NOV",01-NOV-15,"SW FAB","FAB (FIR)",4801,6740,0,6740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,187
