"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015","NEFAB",1013252,38961,0,19602,0,182,0,0,0,0,193,5592,0,12190,0,0,1202,0
"2016","UK-Ireland FAB",2485127,704876,0,178747,0,0,0,0,4397,0,24520,170271,352,135334,5551,0,185704,0
"2017","FAB CE (SES RP2)",410329,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","FABEC",1267815,636915,0,118430,0,0,3433,0,1348,443,109,565,0,47803,5723,0,1749,0
"2017","UK-Ireland FAB",549908,10524,0,2180,0,0,599,0,0,0,0,0,18,4977,0,0,0,0
"2017","NEFAB",233787,2096,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0
"2015","Baltic FAB",789893,127978,0,108994,0,0,0,0,269,0,5409,0,0,5466,1940,0,5900,0
"2015","UK-Ireland FAB",2355226,189796,0,34455,0,0,0,0,1954,0,25,0,0,50741,7432,0,95189,0
"2016","NEFAB",1003474,72430,0,46690,0,0,0,0,0,0,0,0,0,14926,9759,0,1055,0
"2016","FAB CE (SES RP2)",2054697,156880,0,46104,0,0,0,0,0,0,249,0,0,7577,1534,0,101416,0
"2017","BLUE MED FAB",442673,36503,0,3477,0,0,0,0,1303,0,2508,0,0,6894,6465,0,0,0
"2015","BLUE MED FAB",2326841,1481562,0,645336,0,0,0,5805,33576,500,4945,5840,161,736608,42615,0,6176,0
"2016","DANUBE FAB",904666,4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4150,0
"2017","DANUBE FAB",180475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","DK-SE FAB",237805,6116,0,54,0,0,0,0,0,0,0,0,0,0,5636,0,0,0
"2015","DK-SE FAB",1011225,12359,0,0,0,0,0,0,309,0,230,0,0,0,6738,0,5082,0
"2015","SW FAB",1781608,821479,0,582039,0,67,461,13105,3557,48,59577,30101,0,27907,21419,722,82476,0
"2016","FABEC",5847543,6175565,360,2403226,0,0,8052,938806,87185,2200,148293,611297,220,729328,56481,777,1189340,0
"2016","BLUE MED FAB",2371210,303737,0,156348,0,0,162,3305,18162,0,131,577,0,121160,3632,0,260,0
"2017","Baltic FAB",180505,1320,0,379,0,0,0,0,0,0,136,0,0,421,0,0,0,0
"2015","DANUBE FAB",895457,23272,0,0,0,87,0,3259,0,0,446,0,0,0,15477,0,4003,0
"2015","FABEC",5666716,3920847,0,1613384,0,0,11900,500055,110274,489,63834,672240,16,158006,125640,516,664493,0
"2015","FAB CE (SES RP2)",1995408,415578,0,212659,0,0,0,1014,808,0,191,0,0,42942,29,0,157935,0
"2016","Baltic FAB",841788,292047,0,55819,0,0,1495,0,0,0,4848,0,56,208956,2097,0,18776,0
"2016","DK-SE FAB",1034960,50097,0,310,0,0,0,0,795,0,0,0,0,0,41251,0,7741,0
"2017","SW FAB",400610,145240,0,42976,0,0,0,0,0,0,5994,0,22,98,1775,0,8280,0
"2016","SW FAB",1929534,895057,0,633670,0,0,659,0,50,0,121284,4006,3,50308,2770,1440,80867,0
