"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015",8,"AUG",01-AUG-15,"ANA LUX","ANSP (AUA)",166,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"ANS CR","ANSP (AUA)",2508,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"ARMATS","ANSP (AUA)",123,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"Albcontrol","ANSP (AUA)",993,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"Austro Control","ANSP (AUA)",3358,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"Avinor","ANSP (AUA)",1165,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",8,"AUG",01-AUG-15,"BLUE MED FAB","FAB (FIR)",9302,43790,0,41560,0,0,0,0,0,0,0,0,0,2230,0,0,0,0
"2015",8,"AUG",01-AUG-15,"BULATSA","ANSP (AUA)",3243,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"Baltic FAB","FAB (FIR)",2618,1064,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",8,"AUG",01-AUG-15,"Belgocontrol","ANSP (AUA)",1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",8,"AUG",01-AUG-15,"Croatia Control","ANSP (AUA)",2562,3422,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",8,"AUG",01-AUG-15,"DANUBE FAB","FAB (FIR)",3586,,,,,,,,,,,,,,,,,
"2015",8,"AUG",01-AUG-15,"DCAC Cyprus","ANSP (AUA)",981,961,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0
"2015",8,"AUG",01-AUG-15,"DFS","ANSP (AUA)",8237,1216,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0
