entity	2015	2016	prc_change
EUROCONTROL Area (MS)	9144712	9378642	2.6
Albcontrol	190364	176142	-7.5
ANA LUX	60346	64249	6.5
ANS CR	679825	725261	6.7
ARMATS	38857	35361	-9.0
Austro Control	854821	856935	0.2
Avinor	562268	557887	-0.8
Belgocontrol	548616	550206	0.3
BULATSA	719372	707133	-1.7
Croatia Control	500171	502906	0.5
DCAC Cyprus	297313	297940	0.2
DFS	2616460	2684041	2.6
DHMI	1230608	1209573	-1.7
DSNA	2719489	2838265	4.4
EANS	179150	184424	2.9
ENAIRE	1613909	1738445	7.7
ENAV	1461444	1504741	3.0
Finavia	211381	210870	-0.2
HCAA	673844	662174	-1.7
HungaroControl (EC)	694150	721882	4.0
IAA	522103	565182	8.3
LFV	655081	665212	1.5
LGS	224870	226053	0.5
LPS	437239	463971	6.1
LVNL	541056	566995	4.8
MATS	95158	102318	7.5
M-NAV	144330	138356	-4.1
MoldATSA	42707	38708	-9.4
MUAC	1576298	1646531	4.5
NATS (Continental)	2101433	2222384	5.8
NAV Portugal (Continental)	462550	510095	10.3
NAVIAIR	594249	604698	1.8
Oro Navigacija	208832	211954	1.5
PANSA	638639	686495	7.5
ROMATSA	592407	575424	-2.9
SAKAERONAVIGATSIA	111358	114905	3.2
Skyguide	1100321	1120325	1.8
Slovenia Control	251844	258552	2.7
SMATSA	566294	579118	2.3
UkSATSE	201500	180045	-10.6
