"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,1,"DSNA",189824,99055060.808,8511400,4360,2565,105137,89409,1014,643,25611,22362,3346,1922,79526,67047,0,22081,0,0,1065,50843,157,0,153,0,0,2220,2925,0,82,0
2014,1,"Avinor (Continental)",48575,15680435.816,1793511,1181,842,30648,27753,1181,842,30648,27753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"LFV",52436,21194325.04,1920366,146,86,3397,2897,146,86,3397,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"ROMATSA",33563,15878859.096,1226710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE",107316,60210653.504,5184458,1568,743,25363,18136,122,59,2186,1608,1446,684,23177,16528,0,22295,0,0,0,0,0,0,578,0,0,0,0,0,304,0
2014,1,"DFS",192070,60107548.96,5629519,2070,1023,35662,26722,1196,673,22101,17529,874,350,13561,9193,0,1853,0,0,0,0,0,0,53,0,0,2897,8417,0,341,0
2014,1,"DHMI",78935,55281264.74,4617960,1150,547,19974,14631,75,38,2775,2456,1075,509,17199,12175,0,0,0,0,0,0,0,0,17199,0,0,0,0,0,0,0
2014,1,"DCAC Cyprus",20229,7601419.176,598925,2857,1603,56231,44998,0,0,0,0,2857,1603,56231,44998,0,5882,0,0,0,0,0,269,0,32334,0,17746,0,0,0,0
2014,1,"SMATSA",28543,8298661.988,656304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MATS",8194,3873637.644,317568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LPS",26878,5208759.26,399185,10,2,111,41,0,0,0,0,10,2,111,41,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
2014,1,"NAV Portugal (Santa Maria)",9999,16589208.512,1111673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NATS (Continental)",154071,56646951.764,5657246,940,578,29527,26346,838,538,28055,25425,102,40,1472,921,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"NAVIAIR",47535,10480117.972,956202,89,53,1662,1321,89,53,1662,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"HungaroControl",39374,9774618.944,774089,26,13,456,342,2,2,41,41,24,11,415,301,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0
2014,1,"Croatia Control",26694,7958251.424,617793,66,27,973,625,5,5,166,166,61,22,807,459,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"NAV Portugal (Continental)",34739,18201935.668,1452735,1504,830,28446,22474,157,105,3748,3304,1347,725,24698,19170,0,22745,0,0,0,1953,0,0,0,0,0,0,0,0,0,0
2014,1,"ANS CR",45558,11733144.132,951433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Oro Navigacija",15582,2584556.748,222573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Belgocontrol",38382,3679459.148,452572,207,96,3201,2242,205,96,3185,2242,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
2014,1,"Finavia",17659,5205146.008,515567,15,6,218,125,15,6,218,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"LVNL",40835,4989889.9,680962,877,281,10679,5772,667,228,8335,4616,210,53,2344,1156,0,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"UkSATSE",36999,23042237.676,1802699,18,12,375,319,18,12,375,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Slovenia Control",13978,1882680.232,155168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MUAC",118749,34893611.636,2583513,12,2,118,50,0,0,0,0,12,2,118,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014,1,"Skyguide",80567,13703835.108,1327013,1601,661,25297,17355,1496,612,23507,16055,105,49,1790,1300,0,1539,0,0,0,0,0,0,0,0,0,179,0,0,72,0
