"YEAR","MONTH_NUM","ANSP_NAME","ENTITY_NAME","ENTITY_TYPE","ENTITY_CODE","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,1,"Oro Navigacija","PALANGA FIC UNIT","FIS","EYPACTA",19,607.456,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","STAVANGER/SOLA","APP","ENZVTMA",7106,427036.012,78081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","METZ-NANCY APP","APP","LFJLTMA",511,20677.58,4541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"BULATSA","VARNA APP","APP","LBWNTMA",369,21127.616,3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"UkSATSE","L'viv","ACC","UKLVACC",15016,5144072.604,382277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"SMATSA","Beograd","ACC","LYBAACC",28098,7894705.6,593350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Skyguide","APPROACH ZURICH","APP","LSZHTMA",20584,987036.364,187973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LVNL","SCHIPHOL APPROACH","APP","EHAMTMA",32753,1019261.164,154267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Slovenia Control","Ljubjana","ACC","LJLAACC",13870,1860206.212,148411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","POITIER APP","APP","LFBITMA",1128,68081.372,14467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Finavia","HELSINKI/VANTAA APP","APP","EFHKTMA",13348,979078.32,136494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Skyguide","APPROACH LOCARNO","APP","LSZLTMA",6,24.076,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","SEINE APPROACH","APP","LFPMTMA",3305,133064.348,26704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","BALE-MULHOUSE APP","APP","LFSBTMA",8289,408727.14,70255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAVIAIR","TACT ADDRESSING UNIT","MISC","EKCHCTR",18533,244675.128,61857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Oro Navigacija","KAUNAS","APP","EYKATMA",473,20483.12,6022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MATS","Malta","ACC","LMMMACC",8147,3666369.212,283308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"UkSATSE","Simferopol","ACC","UKFVACC",16098,6283734.14,457387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"PANSA","WARSZAWA FLT INFO","FIS","EPWWICTA",627,19601.568,3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LFV","SKELLEFTEA TOWER","APP","ESNSCTR",227,9189.624,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Finavia","SAVONLINNA AFIS","FIS","EFSACTR",60,1896.448,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Austro Control","Wien","ACC","LOVVACC",45612,10012600.944,772729,556,322,11262,9209,501,300,10481,8716,55,22,781,493,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0
2014,1,"Belgocontrol","CHARLEROI APPROACH","APP","EBCITMA",3085,43699.792,10345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","BERGEN/FLESLAND","APP","ENBRTMA",8107,494884.032,87601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE","Sevilla","ACC","LECSACC",23155,7665815.068,626077,56,33,1047,826,0,0,0,0,56,33,1047,826,0,887,0,0,0,0,0,0,0,0,0,0,0,0,160,0
2014,1,"DSNA","LYON SAINT EXUPERY","APP","LFLLTMA",11411,717383.312,124561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAV","PERUGIA","APP","LIRZCTR",140,4498.508,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"UkSATSE","UKLV APP","APP","UKLVTMA",647,34063.836,5406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAVIAIR","AALBORG APPROACH","APP","EKYTTMA",1415,70816.776,12741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LFV","JONKOPING TOWER","APP","ESGJTMA",456,16990.248,3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LFV","OSTERSUND TMC","APP","ESNZTMA",672,25377.956,4177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Finavia","KAJAANI AFIS","FIS","EFKICTR",175,4785.568,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Austro Control","CNX LOVBGFIC","FIS","LOVBCTA",2,48.152,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MoldATSA","Chisinau","ACC","LUUUACC",5091,944295.908,69503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LVNL","GRONINGEN","APP","EHGGTMA",562,13252.912,6977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","BANAK TOWER","APP","ENNATMA",348,11671.304,2532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAV","GARDA APP","APP","LIPXCTR",3398,185566.696,27259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LPS","ZILINA APP","APP","LZZITMA",18,442.628,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","STRASBOURG APPROACH","APP","LFSTTMA",4758,189226.248,37466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAV","FIRENZE","APP","LIRQCTR",2050,98167.112,17179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Oro Navigacija","VILNIUS APPROACH","APP","EYVITMA",2593,98870.872,18774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","LILLE APPROACH","APP","LFQQTMA",2202,113362.772,26818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"PANSA","SZCZECIN TOWER","APP","EPSCTMA",317,14575.24,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAVIAIR","Kobenhavn","ACC","EKDKACC",40232,8966576.528,719000,89,53,1662,1321,89,53,1662,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Austro Control","APPROACH CONTROL","APP","LOWITMA",2378,165353.968,23087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE","Canarias","ACC","GCCCACC",24420,9797333.724,853955,686,373,11734,8901,29,14,453,338,657,359,11281,8563,0,10559,0,0,0,0,0,0,578,0,0,0,0,0,144,0
2014,1,"LVNL","AMSTERDAM FIS","FIS","EHAAICTA",1982,154847.572,42444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DSNA","AJACCIO","APP","LFKJTMA",1217,90703.552,12909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Austro Control","APPROACH CONTROL","APP","LOWGTMA",1494,92479.62,16644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAV","ANCONA APP","APP","LIPYCTR",582,21814.708,4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","IGDIR APP","APP","LTCTTMA",117,4579.996,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","Istanbul","ACC","LTBBACC",56311,8378055.376,671368,36,24,686,560,36,24,686,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"PANSA","POZNAN APP","APP","EPPOTMA",3667,360154.736,43822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"IAA","Dublin","ACC","EIDWACC",13552,1196799.44,137833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"PANSA","KATOWICE TOWER","APP","EPKTCTR",1473,14441.896,3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE","SANTANDER","APP","LEXJTMA",536,26985.492,4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE","GRANADA","APP","LEGRTMA",550,12050.964,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MUAC","Maastricht","ACC","EDYYUAC",118749,34893611.636,2583513,12,2,118,50,0,0,0,0,12,2,118,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014,1,"DSNA","Brest","ACC","LFRRACC",59428,24928438.56,1825865,1098,671,24516,20745,14,11,803,778,1084,660,23713,19967,0,7105,0,0,0,15651,0,0,0,0,0,901,0,0,56,0
2014,1,"DSNA","LIMOGES APP","APP","LFBLTMA",1388,85647.592,16670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","ALESUND/VIGRA TOWER","APP","ENALTMA",2614,158966.42,23946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAV Portugal (Continental)","FARO APPROACH","APP","LPFRTMA",1849,199054.812,23670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","BODO TOWER","APP","ENBOTMA",3389,170587.72,29856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","MUGLA DALAMAN","APP","LTBSTMA",461,32887.816,4142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LGS","LIEPAJA APP","APP","EVLATMA",10,346.324,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LVNL","EELDE TOWER","APP","EHGGCTR",612,14049.272,11512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Oro Navigacija","KAUNAS FIC UNIT","FIS","EYKACTA",36,785.248,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"PANSA","Warszawa","ACC","EPWWACC",45179,17839017.748,1350027,2738,1153,40487,26774,21,4,219,69,2717,1149,40268,26705,0,2738,0,0,0,0,0,0,1195,34431,0,1904,0,0,0,0
2014,1,"ENAV","RONCHI DEI LEGIONARI","APP","LIPQCTR",718,23646.336,4776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","SIRNAK APPROACH","APP","LTCVTMA",221,11437.952,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Oro Navigacija","KAUNAS","APP","EYSATMA",85,2689.104,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","KAHRAMANMARAS APP","APP","LTCNTMA",170,4724.452,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Avinor (Continental)","KIRKENES TOWER","APP","ENKRTMA",1064,39412.412,8584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Belgocontrol","LUXEMBOURG FLT INFO","FIS","ELLXICTA",50,931.556,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAVIAIR","BILLUND APP","APP","EKBITMA",3104,140876.084,24493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Austro Control","APPROACH CONTROL","APP","LOWWTMA",19298,1734059.084,244947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Belgocontrol","BRUSSELS TOWER","APP","EBBRCTR",8933,65903.42,19060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Finavia","KOKKOLA-PIETARSAARI","APP","EFKKCTR",147,4215.152,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LFV","SATENAS APPROACH","APP","ESIBTMA",268,9898.94,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DFS","Karlsruhe UAC","ACC","EDUUUAC",115615,31675794.972,2331023,583,237,9502,6623,0,0,0,0,583,237,9502,6623,0,107,0,0,0,0,0,0,53,0,0,925,8417,0,0,0
2014,1,"NAVIAIR","KOBENHAVN/ROSKILDE","APP","EKRKTMA",275,8434.008,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NAV Portugal (Santa Maria)","SANTA MARIA APP","APP","LPAZTMA",1646,254031.432,29227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"NATS (Continental)","BLACKPOOL","APP","EGNHATZ",271,1244.544,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"SAKAERONAVIGATSIA","Tbilisi","ACC","UGGGACC",9208,3464406.76,257167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Belgocontrol","BRUSSELS APPROACH","APP","EBBRTMA",18111,366988.616,78663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"LFV","BORLANGE TOWER","APP","ESSDTMA",224,4016.988,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Slovenia Control","LJUBLJANA TWR","APP","LJLJCTR",1785,16264.264,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"SMATSA","PODGORCIA TMA","APP","LYPGTMA",1295,66699.78,9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"Croatia Control","DUBROVNIK TMA","APP","LDDUTMA",277,16506.876,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"DHMI","ANTALYA","APP","LTFGTMA",146,3559.544,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"ENAIRE","MENORCA","APP","LEMHTMA",829,9671.144,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
